,Sample,Group,Outcome,ProtectionBALorSwab,Day 10 AUC,Functional_Enrichment,Antibody_Enrichment,Fc_Enrichment,NAb Week 6,IFNg Week 4,Variant_Functional_Enrichment,Variant_Antibody_Enrichment,Variant_Fc_Enrichment
0,15-115,I (10^11 vp),Protected,Total Protection,0,-0.560819674,0.283170363,-0.22211171,-0.161479719,-0.616996033,-0.143419448,-0.073660701,-0.417511072
1,15-117,I (10^11 vp),Protected,Total Protection,0,1.3242777,1.022508955,1.564852842,2.96609373,0.72984403,1.437718944,0.90693068,1.841688635
2,15-131,I (10^11 vp),Protected,Total Protection,0,0.795738546,0.348386832,-0.012892019,0.338441729,0.494664008,0.019539016,0.385656143,-0.082753772
3,15-072,I (10^11 vp),Protected,Total Protection,0,1.092824646,0.680770765,0.493776302,0.160046523,1.912984034,0.544620817,0.825110308,0.457101283
4,15-084,I (10^11 vp),Protected,Total Protection,0,0.751436084,0.288296286,1.530912025,1.549115322,0.774604681,1.328845689,0.878034737,1.869637504
5,15-139,II (5x10^10 vp),Protected,Total Protection,0,1.500015208,0.69858513,0.913162143,0.700889493,1.894922808,0.563858517,0.824049526,1.019081612
6,15-143,II (5x10^10 vp),Protected,Total Protection,0,0.386575456,0.444774143,0.057480129,-0.080202411,-0.432878412,0.131952556,0.407110899,-0.104022012
7,15-145,II (5x10^10 vp),Protected,Total Protection,0,0.568505298,0.597150632,1.346527027,0.132702649,0.003915077,0.419649314,0.182258995,0.353215092
8,15-086,II (5x10^10 vp),Protected,Total Protection,0,1.249542715,1.073429343,1.646828519,0.977156909,1.277487696,0.185628837,0.923286358,1.724293434
9,15-104,II (5x10^10 vp),Not protected/only protected BAL,Incomplete Protection (BAL only),4.263825366,0.029489118,-0.215519975,-0.036898531,-0.549008416,-0.282629345,-0.157053939,0.010363676,-0.227115505
10,15-157,III (1.125x10^10 vp),Protected,Total Protection,0,0.218346589,0.356234714,0.069717169,0.23057486,-0.044292898,0.132797038,0.115328227,-0.006256688
11,15-159,III (1.125x10^10 vp),Protected,Total Protection,0,-0.113826632,0.408775972,0.329606881,0.131571179,-0.087347459,-0.361146074,0.204902619,-0.054932169
12,15-161,III (1.125x10^10 vp),Protected,Total Protection,0,-0.204071041,0.356627233,-0.564950517,-0.242945606,-0.459851161,-0.02018572,0.055055269,-0.612857502
13,15-108,III (1.125x10^10 vp),Not protected/only protected BAL,Incomplete Protection (BAL only),12.40481755,-0.973008481,-0.733637017,-1.112007249,-0.981041625,-0.615554484,0.133952081,-0.680255104,-0.948618081
14,15-114,III (1.125x10^10 vp),Not protected/only protected BAL,No protection,24.71865632,-0.497721096,-0.647793573,-1.088656057,-0.829047402,-0.764380731,-0.45340053,-0.161094538,-0.541032198
15,15-169,IV (2x10^9 vp),Not protected/only protected BAL,Incomplete Protection (BAL only),12.84216361,-1.055623374,-0.455268828,-0.645886064,-0.397014193,-0.763297372,-0.720031752,-0.55016917,-0.601440542
16,15-171,IV (2x10^9 vp),Protected,Total Protection,0,-1.220917771,-1.240496583,-1.145508207,-0.929559711,-0.986908692,-0.717579649,-1.205638893,-0.955123051
17,15-173,IV (2x10^9 vp),Not protected/only protected BAL,Incomplete Protection (BAL only),13.16067468,-0.930790774,-0.834187206,-0.98680151,-0.94049726,-0.425001686,-0.79435827,-0.769729191,-0.87246256
18,15-118,IV (2x10^9 vp),Not protected/only protected BAL,Incomplete Protection (BAL only),26.53532236,-0.838152833,-0.775990729,-0.911975851,-0.926542456,-0.596966494,-0.60592146,-0.773400437,-0.79106087
19,15-140,IV (2x10^9 vp),Not protected/only protected BAL,No protection,16.84502666,-1.521819685,-1.655816459,-1.225175324,-1.149253595,-1.012317566,-0.925465969,-1.504139404,-1.049831538
