Sample Group,ADCP WT Spike,ADNP WT Spike,ADCD WT Spike,Nkdegran MIP1b+ %,IgG1 WT Spike,IgG2 WT Spike,IgG3 WT Spike,IgG4 WT Spike,IgA WT Spike,IgM WT Spike,FcgR2A-1 WT Spike,FcgR3 WT Spike
Group I,70.57847743,104.86872,29.10803337,12.9975,5.94020111,4.98631145,4.97348231,4.96928076,4.95177451,4.83599479,5.65108506,5.65826879
Group I,109.1159113,153.13581,38.86382258,30.8,6.21773129,5.0040278,5.0418031,5.01243437,5.0820894,4.89780435,6.15371519,6.0162691
Group I,93.70331724,145.92481,45.52571911,25.525,6.06885998,4.94991913,4.85204365,4.9488187,4.98771541,5.23937081,5.85725257,5.62521699
Group I,122.4544386,158.9762175,38.2620765,27,6.17077032,4.96107447,5.01537128,4.98608393,4.94936439,5.10678819,6.0060326,5.8338022
Group I,96.76785419,124.77549,44.02517486,24.45,6.17937554,4.9542401,4.95819584,4.88448666,4.91205857,4.96883421,6.15767673,5.99441526
Group II,106.1479843,151.0441375,39.41959545,36.175,6.19904455,4.95048291,4.98582825,4.94518044,4.98338269,5.02459854,6.08127879,5.91410108
Group II,113.0088721,119.3819125,40.64690491,19.24,6.04985494,4.87065551,4.84793185,4.8708719,4.98911819,5.41785931,5.86658342,5.68675354
Group II,99.86375641,131.0084425,35.75512658,22.95,6.07250411,4.94176726,4.90690044,4.95950527,4.95103501,5.37381049,6.12760662,5.96685913
Group II,125.2876172,143.0369725,40.00318766,32.95,6.11251896,4.95966852,4.92369337,4.96226868,5.03864797,5.47934709,6.16935866,6.07395706
Group II,100.7738192,111.0778625,33.91625444,16.815,5.97665713,4.92332823,4.84437465,4.81150128,4.80194881,4.93195596,5.82525146,5.76534103
Group III,76.90907162,104.271465,44.94771236,21.7,6.04788965,4.91557658,4.92213744,4.91324811,4.94529252,5.14507204,5.89421052,5.82181262
Group III,81.6051364,101.5133125,36.88415678,17.475,6.03704154,4.93363279,4.81998952,4.94785629,5.10045154,4.94229831,5.89519097,5.82560071
Group III,73.23117109,114.4658275,31.22327463,18.05,6.01580587,4.96915605,4.93283384,4.94586724,4.94511145,4.97059441,5.64046081,5.52205378
Group III,69.085862,75.842835,13.24646861,11.365,5.74283035,4.74279384,4.77579607,4.69912198,4.7716481,5.15108396,4.65821179,4.85119412
Group III,95.16895193,97.4432875,20.7826838,11.965,5.60541792,4.76538539,4.78389465,4.79034499,4.81067768,5.12669056,4.63851921,5.00851714
Group IV,55.88137497,63.07631,12.3390296,13.7375,5.88249793,4.80554843,4.79916645,4.78385893,4.82588354,5.19818474,5.57853492,5.48700679
Group IV,67.51727522,66.67391,9.718487077,7.9875,5.60849608,4.64466503,4.59100614,4.64345761,4.63065158,5.12937888,4.44413071,4.87911739
Group IV,74.46560827,74.9430075,11.67396065,14.4725,5.7352435,4.71339603,4.69299665,4.62213369,4.71841034,5.28150663,4.99461076,5.03854466
Group IV,75.6701715,76.7961525,12.93361346,13.3475,5.81681313,4.71783479,4.79613531,4.70284611,4.73599988,4.96956966,5.09007544,5.12015259
Group IV,68.78263857,52.4094475,2.00139952,3.56,5.13128014,4.42982089,4.49507927,4.41020764,4.38173763,5.24194349,3.65710368,4.43111438
Group V,40.29796946,22.4841225,0.015734027,2.14,3.58132375,3.60010126,3.62130614,3.5806114,3.59527571,4.18696339,3.58450084,3.60300897
Group V,38.96408916,15.3623,0.020556573,2.35,3.58922331,3.60568206,3.61849263,3.70590646,3.59906391,4.29866208,3.56864166,3.5884958
Group V,43.84655126,21.232815,0.022953298,4.03,3.58143762,3.60948769,3.58297193,3.6368388,3.5780372,4.50007173,3.58888769,3.63159595
Group V,30.98664142,19.7797475,0.074792029,2.765,3.60392886,3.59999218,3.58063991,3.57969787,3.59516541,4.13582411,3.60841905,3.71591982
Group V,30.4560636,20.806215,0.020172276,2.185,3.59350759,3.58302865,3.58481162,3.60640824,3.6613867,5.10295054,3.64945656,3.60938094
